Date,Track Name,Artist,Genre,Tempo,Loudness,Productivity
2024-09-12,MTG QUEM NÃO QUER SOU EU,"DJ TOPO, Seu Jorge, Mc Leozin, MC G15","funk carioca, funk mtg, funk paulista, funk rj",126.910697937,0.908984184265,93.33333333
2024-09-12,A Bar Song (Tipsy),Shaboozey,"modern country pop, pop rap",126.910697937,0.908984184265,93.33333333
2024-09-12,Safe and Sound,Capital Cities,"metropopolis, modern rock",99.9584350586,0.934315443039,93.33333333
2024-09-12,Aşka Çarem Yok - Akustik,Nova Norda,"turkish alt pop, turkish rock",126.910697937,0.908984184265,93.33333333
2024-10-12,MILLION DOLLAR BABY,Tommy Richman,chill abstract hip hop,123.821136475,0.940449714661,41.66666667
2024-10-12,The Less I Know The Better,Tame Impala,"australian psych, modern rock, neo-psychedelic, rock",126.910697937,0.908984184265,41.66666667
2024-10-12,Kids,MGMT,"alternative rock, indie rock, indietronica, modern rock, rock",126.910697937,0.908984184265,41.66666667
2024-10-12,Volare (Nel Blu di Pinto di Blu),Gipsy Kings,"flamenco, rumba, world",126.910697937,0.908984184265,41.66666667
2024-10-12,Lies Lies Lies,Morgan Wallen,contemporary country,126.910697937,0.908984184265,41.66666667
2024-10-12,Hell N Back (feat. Summer Walker),"Bakar, Summer Walker","new school turkce rap, turkce drill",172.265594482,0.9467202425,41.66666667
2024-10-12,Dancing in the Moonlight,Toploader,british alternative rock,150.040557861,0.954892337322,41.66666667
2024-10-12,Woman,Doja Cat,pop,125.98135376,0.924481570721,41.66666667
2024-10-12,Losing Interest,"itssvd, CORBAL, Shiloh Dynasty, Dibyo","slowed and reverb, sped up",126.910697937,0.908984184265,41.66666667
2024-10-12,Give Me Everything (feat. Nayer),"Pitbull, AFROJACK, Ne-Yo, Nayer","dance pop, miami hip hop, pop",126.910697937,0.908984184265,41.66666667
2024-10-12,Beautiful Things,Benson Boone,singer-songwriter pop,172.265853882,0.908984184265,41.66666667
2024-10-12,Dreaming,Smallpools,"hopebeat, indie poptimism, la indie, la pop, metropopolis, modern alternative rock, modern rock",126.910697937,0.908984184265,41.66666667
2024-11-12,"10,000 Hours (with Justin Bieber)","Dan + Shay, Justin Bieber",pop,89.9493942261,0.924481570721,88.88888889
2024-11-12,Don't Mess With My Man,Lucy Pearl,"contemporary r&b, neo soul, new jack swing",126.910697937,0.908984184265,88.88888889
2024-11-12,Malli,"Dardan, Azet",german hip hop,126.910697937,0.908984184265,88.88888889
2024-11-12,a lot,21 Savage,"atl hip hop, hip hop, rap",126.910697937,0.908984184265,88.88888889
2024-11-12,Kafam Senden Bile Güzel,Kolpa,"turkish pop, turkish rock",126.910697937,0.908984184265,88.88888889
2024-11-12,Amarillo By Morning,George Strait,"contemporary country, country, country road",126.910697937,0.908984184265,88.88888889
2024-11-12,'Til You Can't,Cody Johnson,"classic texas country, contemporary country, modern country pop",132.981048584,0.777098476887,88.88888889
2024-11-12,3 Nights,Dominic Fike,"alternative pop rock, pov: indie",126.910697937,0.908984184265,88.88888889
2024-11-12,Aşk Lazım,Gökhan Türkmen,turkish pop,126.910697937,0.932381510735,88.88888889
2024-11-12,Girl With The Tattoo Enter.lewd,Miguel,scenecore,112.04750061,0.75539380312,88.88888889
2024-11-12,BAIXO,xxanteria,"emo rap, miami hip hop, rap",126.910697937,0.908984184265,88.88888889
2024-11-12,Retro Emporium,The Reytons,english indie rock,126.910697937,0.908984184265,88.88888889
2024-11-12,I'm Yours,Jason Mraz,"acoustic pop, dance pop, neo mellow, pop",126.910697937,0.908984184265,88.88888889
2024-12-12,bloodline,Ariana Grande,pop,153.927520752,0.96458530426,62.5
2024-12-12,Aşk Nerden Nereye,Gripin,"turkish alternative, turkish pop, turkish rock",162.529693604,0.955693721771,62.5
2024-12-12,Don't Stop The Music,Rihanna,"barbadian pop, pop, urban contemporary",124.999603271,0.908742427826,62.5
2024-12-12,Memories (feat. Kid Cudi) - 2021 Remix,"David Guetta, Kid Cudi","hip hop, ohio hip hop, pop rap, rap",136.806732178,0.9352465868,62.5
2024-12-12,Are You With Me,Lost Frequencies,"belgian edm, edm, pop dance, tropical house",121.019241333,0.950203120708,62.5
2024-12-12,Sway,Michael Bublé,"adult standards, canadian pop, jazz pop, lounge",131.822555542,0.81537848711,62.5
