Track Name,Artist,Track ID,Genres,Tempo,Loudness,Danceability
I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",4KULAymBBJcPRpk1yO4dOG,"classic texas country, contemporary country, country dawn",,,
The Painter,Cody Johnson,5DQU4Fmdx7Hs7pwtcZMSTK,"classic texas country, contemporary country, modern country pop",,,
'Til You Can't,Cody Johnson,4k3lPl8YTKuY8c1HelVnm3,"classic texas country, contemporary country, modern country pop",,,
Dirt Cheap,Cody Johnson,48X5k2vce5rXckgDAnXMsa,"classic texas country, contemporary country, modern country pop",132.981048584,0.777098476887,
Remembrance,Balmorhea,7xiw42KTmCcqfZNCZqUcnF,"compositional ambient, melancholia, neoclassical darkwave, pastoral, post-rock",,,
Not Like Us,Kendrick Lamar,6AI3ezQ4o3HUoP6Dhudph3,"conscious hip hop, hip hop, rap, west coast rap",,,
Love Somebody,Morgan Wallen,7hR22TOX3RorxJPcsz5Wbo,contemporary country,,,
Wasted On You,Morgan Wallen,3cBsEDNhFI9E82vPj3kvi3,contemporary country,,,
Lies Lies Lies,Morgan Wallen,7Fzl7QaTu47WyP9R5S5mh5,contemporary country,,,
7 Summers,Morgan Wallen,4obHzpwGrjoTuZh2DItEMZ,contemporary country,,,
Does To Me (feat. Eric Church),"Luke Combs, Eric Church",0nGXi46VcQQ56ZJR428MKS,"contemporary country, country",112.980995178,0.771341562271,
Beautiful Crazy,Luke Combs,2rxQMGVafnNaRaXlRMWPde,"contemporary country, country",,,
The Kind of Love We Make,Luke Combs,48UKTR66uUOT9LaUvooTNx,"contemporary country, country",,,
Love You Anyway,Luke Combs,2kYevr8cbIAH2ha8210Bnz,"contemporary country, country",,,
This Town's Been Too Good To Us,Dylan Scott,5ncjUUHk43IjYXZCsQxcBw,"contemporary country, country road, modern country rock",,,
Life is a Highway,Rascal Flatts,2Fs18NaCDuluPG1DHGw1XG,"contemporary country, country, country road",,,
Heart On Fire,Eric Church,0ysCB1Jg4hli0XlEWlipo7,"contemporary country, country, country road",,,
Amarillo By Morning,George Strait,4TnUKixNWMfajncgdSwFoi,"contemporary country, country, country road",,,
Buy Dirt,"Jordan Davis, Luke Bryan",69AIpwGNLxr4qS1X5ynx60,"contemporary country, country, country road, modern country rock",,,
Dirt Road Anthem,Jason Aldean,5ZVGvay4xwgXMnQWffNYeU,"contemporary country, country, country road, modern country rock",,,
Country Girl (Shake It For Me),Luke Bryan,0JbSghVDghtFEurrSO8JrC,"contemporary country, country, country road, modern country rock",,,
Rumor,Lee Brice,56eGOeSsqdg3FLxdo83TwV,"contemporary country, country, country road, modern country rock",,,
Beautiful As You,Thomas Rhett,1SBoKG4MjtH2vMUpftdQtc,"contemporary country, country, country road, modern country rock",,,
you look like you love me (feat. Riley Green),"Ella Langley, Riley Green",2PyJAiQjp1OPkow2FJZKHR,"contemporary country, modern country pop",,,
My Lovin' (You're Never Gonna Get It),En Vogue,3R97rNX7JnmshCWBwOSFet,"contemporary r&b, girl group, hip pop, new jack swing, r&b, urban contemporary",,,
Don't Mess With My Man,Lucy Pearl,2J2hVpwVV25EK8Bvd3OgCK,"contemporary r&b, neo soul, new jack swing",,,
Tell Me,Groove Theory,2lp8xjq0WTm3HZKHuDEweg,"contemporary r&b, new jack swing",,,
Nite and Day,Al B. Sure!,3r0Rhl5Zdo9YjACZNsaBvN,"contemporary r&b, new jack swing, quiet storm, r&b",,,
Love Me Again,John Newman,5TbzAWWc5eJaANpA9kfGCd,dance pop,125.963882446,0.847758233547,
Summer,Calvin Harris,6YUTL4dYpB9xZO5qExPf05,"dance pop, edm, electro house, house, pop, progressive house, uk dance",,,
My Way,Calvin Harris,3ejfcz0QPyV717Vd3ta04V,"dance pop, edm, electro house, house, pop, progressive house, uk dance",,,
You Know You Like It,"DJ Snake, AlunaGeorge",57kR5SniQIbsbVoIjjOUDa,"dance pop, edm, electronic trap, pop, pop dance",,,
Runaway (U & I),Galantis,46lFttIf5hnUZMGvjK0Wxo,"dance pop, edm, pop, pop dance, progressive electro house",,,
King,Olly Alexander (Years & Years),3AeicLnm55RqcXGBKYQolM,"dance pop, gauze pop, pop, pop dance, uk pop",122.571891785,0.896863520145,
Give Me Everything (feat. Nayer),"Pitbull, AFROJACK, Ne-Yo, Nayer",4QNpBfC0zvjKqPJcyqBy9W,"dance pop, miami hip hop, pop",,,
Hangover,"Taio Cruz, Flo Rida",5pmL3RzOy3IvGFaSDi4hZL,"dance pop, miami hip hop, pop, pop rap",,,
"Hey, Soul Sister",Train,4HlFJV71xXKIGcU3kRyttv,"dance pop, neo mellow, pop, pop rock",,,
Treasure,Bruno Mars,55h7vJchibLdUkxdlX3fK7,"dance pop, pop",117.913406372,0.829631149769,
Locked out of Heaven,Bruno Mars,3w3y8KPTfNeOKPiqUTakBh,"dance pop, pop",,,
The Lazy Song,Bruno Mars,386RUes7n1uM1yfzgeUuwp,"dance pop, pop",87.6855163574,0.879524111748,
Domino,Jessie J,2fQxE0jVrjNMT9oJAXtSJR,"dance pop, pop",,,
TiK ToK,Kesha,0HPD5WQqrq7wPWR7P7Dw1i,"dance pop, pop",,,
Want to Want Me,Jason Derulo,7oGZAicScQt96OAW4AruYy,"dance pop, pop",,,
Cupid's Chokehold / Breakfast in America,Gym Class Heroes,2Lhdl74nwwVGOE2Gv35QuK,"dance pop, pop rap",,,
Replay,Iyaz,4E5P1XyAFtrjpiIxkydly4,"dance pop, pop rap, post-teen pop",,,
Promiscuous,"Nelly Furtado, Timbaland",2gam98EZKrF9XuOkU13ApN,"dance pop, pop, pop rap",,,
Pump It,Black Eyed Peas,2ygMBIctKIAfbEBcT9065L,"dance pop, pop, pop rap",,,
Dynamite,Taio Cruz,0r4iLyCpW9e27ATCupFF64,"dance pop, pop, pop rap",,,
Troublemaker (feat. Flo Rida),"Olly Murs, Flo Rida",6s8nHXTJVqFjXE4yVZPDHR,"dance pop, romanian house, romanian pop",,,
Shut Up and Dance,WALK THE MOON,4kbj5MwxO1bq9wjT5g9HaA,"dance rock, modern alternative rock, modern rock, neo mellow, pop rock",,,
Solo Dance,Martin Jensen,10AsRVRdU07cMAFHeGYO3c,"danish electronic, edm, pop dance",,,
Renegade,Aaryan Shah,2e0Zxf8VntbuwfosHQbIT1,dark r&b,,,
I Adore You (feat. Daecolm),"HUGEL, Topic, Arash, Daecolm",5nPbKG04fhLkIAjcPFaZq7,deep house,,,
Cola,"CamelPhat, Elderbrook",1HrMWH5GUdK6Yi94rbANJA,"deep tech house, house, progressive house, uk dance",,,
Lovin On Me,Jack Harlow,4xhsWYTOGcal8zt0J161CU,"deep underground hip hop, hip hop, kentucky hip hop, pop rap, rap",,,
Freaks,Surf Curse,7EkWXAI1wn8Ii883ecd9xr,"dreamo, indie surf, pov: indie, surf punk, vegas indie",,,
